scientificName,specificEpithet,infraspecificEpithet,clade,north,center,south,elaiophore,pollinator_i,pollinator_ii,section,flower_type,ploidy,chromosome_number,habit,speciesAuthority,botanicalCountries
Calceolaria myriophylla,myriophylla,,2b,0,1,0,Present,Oil-bees,Centris,Parvifoliae,VIII,4,36,Shrub,Kraenzl.,"[""PER""]"
Calceolaria chaetostemon,chaetostemon,,2b,0,1,0,Present,,,Urticopsis,XI,,,Herb,Pennell,"[""PER""]"
Calceolaria revoluta,revoluta,,2b,0,1,0,Absent,,,Revolutae,XV,4,36,Shrub,Pennell,"[""PER""]"
Calceolaria procera,procera,,2b,0,1,0,Present,,,Revolutae,I,4,36,Shrub,Pennell,"[""PER""]"
Calceolaria rupestris,rupestris,,2b,0,1,0,Present,,,Revolutae,II,,,Shrub,Molau,"[""PER""]"
Calceolaria buchtieniana,buchtieniana,,2b,0,1,0,Present,,,Revolutae,II,4,36,Shrub,Kraenzl.,"[""BOL"", ""PER""]"
Calceolaria ericoides subsp. ericoides,ericoides,ericoides,2b,0,1,0,Present,,,Ericoides,VIII,4,36,Shrub,,"[""ECU""]"
Calceolaria barbata,barbata,,2b,0,1,0,Absent,Pollen-bees,Pollen-bees,Ericoides,XIV,,,Shrub,Molau,"[""PER""]"
Calceolaria linearis,linearis,,2b,1,1,0,Present,,,Ericoides,VIII,,,Shrub,Ruiz & Pav.,"[""PER""]"
Calceolaria teucrioides,teucrioides,,2b,0,0,1,Present,Oil-bees,Centris & Chalepogenus & Autogamous,Teucriifoliae,XII,4,36,Shrub,Griseb.,"[""BOL"", ""AGE"", ""AGW"", ""CLN""]"
Calceolaria bartsiifolia,bartsiifolia,,2b,0,1,0,Present,,,Teucriifoliae,II,4,36,Shrub,Wedd.,"[""BOL""]"
Calceolaria engleriana subsp. lutea,engleriana,lutea,2b,0,1,0,Present,,,Engleriana,III,4 & 8,36 & 72,Shrub,Molau,"[""PER""]"
Calceolaria engleriana subsp. engleriana,engleriana,engleriana,2b,0,1,0,Present,,,Engleriana,III,4 & 8,36 & 72,Shrub,,"[""BOL"", ""PER""]"
Calceolaria crassa,crassa,,2b,0,1,0,Present,,,Engleriana,I,,,Shrub,Molau,"[""BOL""]"
Calceolaria chrysosphaera,chrysosphaera,,2b,0,1,0,Present,,,Polyclada,XII,4,36,Shrub,Pennell,"[""PER""]"
Calceolaria soratensis,soratensis,,2b,0,1,0,Present,,,Polyclada,I,,,Shrub,Kraenzl.,"[""BOL""]"
Calceolaria monantha,monantha,,2b,0,1,0,Present,,,Polyclada,I,,,Vine,Kraenzl.,"[""BOL""]"
