scientificName,specificEpithet,infraspecificEpithet,clade,north,center,south,elaiophore,pollinator_i,pollinator_ii,section,flower_type,ploidy,chromosome_number,habit
Calceolaria crassa,crassa,,2b,0,1,0,Present,,,Engleriana,I,,,Shrub
Calceolaria chrysosphaera,chrysosphaera,,2b,0,1,0,Present,,,Polyclada,XII,4,36,Shrub
Calceolaria soratensis,soratensis,,2b,0,1,0,Present,,,Polyclada,I,,,Shrub
Calceolaria monantha,monantha,,2b,0,1,0,Present,,,Polyclada,I,,,Vine
Calceolaria speciosa,speciosa,,2b,0,1,0,Absent,,,Engleriana,XIV,,,Vine
Calceolaria boliviana,boliviana,,2b,0,1,0,Absent,Pollen-bees,Pollen-bees,Engleriana,XIV,,,Shrub
Calceolaria cypripediiflora,cypripediiflora,,2b,0,1,0,Present,Pollen-bees,Pollen-bees,Lehmanniana,XIII,4,36,Herb
Calceolaria vaccinioides,vaccinioides,,2b,0,1,0,Absent,,,Polyclada,VI,4,36,Vine
Calceolaria atahualpae subsp. atahualpae,atahualpae,atahualpae,2b,0,1,0,Present,,,Polyclada,V,4,36,Shrub
Calceolaria inflexa,inflexa,,2b,0,1,0,Present,,,Polyclada,VII,,,Vine
Calceolaria vulpina,vulpina,,2b,0,1,0,Present,,,Lehmannina,II,,,Herb
Calceolaria oblonga,oblonga,,2b,0,1,0,Present,Oil-bees,Chalepogenus,Lehmannina,XI,,,Herb
Calceolaria maculata,maculata,,2b,0,1,0,Present,Oil-bees,Centris,Urticopsis,VIII,4,36,Shrub
Calceolaria sparsiflora,sparsiflora,,2b,0,1,0,Present,Oil-bees,Centris,Parvifoliae,VIII,4,36,Shrub
Calceolaria inamoena subsp. inamoena,inamoena,inamoena,2b,0,1,0,Present,Oil-bees,Centris,Parvifoliae,VII,2 & 4,18 & 72,Shrub
Calceolaria flexuosa subsp. flexuosa,flexuosa,flexuosa,2b,0,1,0,Present,,,Urticopsis,IV,4,36,Shrub
Calceolaria flexuosa subsp. chrysocalyx,flexuosa,chrysocalyx,2b,0,1,0,Present,,,Urticopsis,IV,4,36,Shrub
Calceolaria angustiflora,angustiflora,,2b,0,1,0,Present,,,Verticillatae,XII,4,36,Shrub
Calceolaria heterophylla,heterophylla,,2b,0,1,0,Present,,,Lehmanniana,X,,,Herb
